#journal	abbreviation
Accounts of Chemical Research	Acc. Chem. Res.
ACS Applied Energy Materials	ACS Appl. Energy Mater.
ACS Applied Materials & Interfaces	ACS Appl. Mater. Interfaces
ACS Energy Letters	ACS Energy Lett.
ACS Sustainable Chemistry & Engineering	ACS Sustainable Chem. Eng.
Advanced Energy and Sustainability Research	Adv. Energy Sustainability Res.
Advanced Energy Materials	Adv. Energy Mater.
Advanced Engineering Materials	Adv. Eng. Mater.
Advanced Functional Materials	Adv. Funct. Mater.
Advanced Materials	Adv. Mater.
AIChE Journal	AIChE J.
Angewandte Chemie International Edition	Angew. Chem. Int. Ed.
Annals of Physics	Ann. Phys
APL Materials	APL Mater.
Applied Physics Letters	Appl. Phys. Lett.
Canadian Journal of Physics	Can. J. Phys.
Chemical Engineering Science	Chem. Eng. Sci.
Chemical Physics Letters	Chem. Phys. Lett.
Chemical Reviews	Chem. Rev.
Chemistry of Materials	Chem. Mater.
Chemistry – A European Journal	Chem. Euro. J.
Chemistry–Methods	Chem. Methods
Computational Materials Science	Comput. Mater. Sci.
Computer Physics Communications	Comput. Phys. Commun.
Computers & Chemical Engineering	Comput. Chem. Eng.
Die Makromolekulare Chemie	Makromol. Chem.
Electron Devices, IEEE Transactions on	IEEE Trans. Electron Dev.
Energy & Fuels	Energy Fuels
Environmental Science & Technology	Environ. Sci. Technol.
European Polymer Journal	Eur. Polym. J.
Industrial & Engineering Chemistry Research	Ind. Eng. Chem. Res.
Infrared Physics	Infrared Phys.
Inorganic Chemistry	Inorg. Chem.
International Journal of Quantum Chemistry	Int. J. Quantum Chem.
Journal of Applied Physics	J. Appl. Phys.
Journal of Applied Polymer Science	J. Appl. Polym. Sci.
Journal of Biomedical Materials Research Part A	J. Biomed. Mater. Res.
Journal of Chemical Information and Modeling	J. Chem. Inf. Model.
Journal of Chemical Theory and Computation	J. Chem. Theory Comput.
Journal of Cheminformatics	J. Cheminformatics
Journal of Computational Chemistry	J. Comput. Chem.
Journal of Computational Physics	J. Comput. Phys.
Journal of Electronic Materials	J. Electron. Mater.
Journal of Magnetic Resonance	J. Magn. Reson.
Journal of Materials Science & Technology	J. Mater. Sci. Technol.
Journal of Membrane Science	J. Membr. Sci.
Journal of Non-Newtonian Fluid Mechanics	J. Non-Newtonian Fluid Mech.
Journal of Photochemistry and Photobiology A: Chemistry	J. Physchem. Physbio. A: Chem.
Journal of Physics: Condensed Matter	J. Phys.: Condens. Matter
Journal of Polymer Science Part A: General Papers	J. Polym. Sci. A Gen. Pap.
Journal of Polymer Science Part A: Polymer Chemistry	J. Polym. Sci. A Polym. Chem.
Journal of Polymer Science Part B: Polymer Physics	J. Polym. Sci. B Polym. Phys.
Journal of Rheology	J. Rheol.
Journal of the American Chemical Society	J. Am. Chem. Soc.
Journal of The Electrochemical Society	J. Electrochem. Soc.
Journal of the Physical Society of Japan	J. Phys. Soc. Jpn
Journal of Toxicology and Environmental Health, Part A	J. Toxicol. Environ. Health A
Macromolcular Bioscience	Macromol. Biosci.
Macromolecular Symposia	Macromol. Symp.
Materials Science and Engineering: R: Reports	Mater. Sci. Eng., R
Molecular Physics	Mol. Phys.
Nano Letters	Nano Lett.
Nature Catalysis	Nat. Catal.
Nature Chemistry	Nat. Chem.
Nature Communications	Nat. Commun.
Nature Computer Science	Nat. Comput. Sci.
Nature Electronics	Nat. Electron.
Nature Energy	Nat. Energy
Nature Machine Intelligence	Nat. Mach. Intell.
Nature Materials	Nat. Mater.
Nature Photonics	Nat. Photon.
Nature Physics	Nat. Phys.
Nature Reviews Materials	Nat. Rev. Mater.
Organic Electronics	Org. Electron.
physica status solidi (a)	Phys. Status Solidi A
physica status solidi (b)	Phys. Status Solidi B
Physical Chemistry Chemical Physics	Phys. Chem. Chem. Phys.
Polymer Chemistry	Polym. Chem.
Polymer Degradation and Stability	Polym. Degrad. Stab.
Polymer Engineering and Science	Polym. Eng. Sci.
Polymer Journal	Polym. J.
Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences	Proc. R. Soc. Lond. A
Progress in Photovoltaics: Research and Applications	Prog. Photovolt: Res. Appl.
Progress in Polymer Science	Prog. Polym. Sci.
Pure and Applied Chemistry	Pure Appl. Chem.
Renewable and Sustainable Energy Reviews	Renew. Sustain. Energy Rev.
Science Advances	Sci. Adv.
Scientific Data	Sci. Data
Scientific Reports	Sci. Rep.
Selected Topics in Quantum Electronics, IEEE Journal of	IEEE J. Sel. Top. Quantum Electron.
Solar Energy Materials and Solar Cells	Sol. Energ. Mat. Sol. Cells
Solid-State Electronics	Solid-State Electron.
Surface Science	Surf. Sci.
Synthetic Metals	Synt. Met.
The Journal of Chemical Physics	J. Chem. Phys.
The Journal of Organic Chemistry	J. Org. Chem.
The Journal of Physical Chemistry	J. Phys. Chem.
The Journal of Physical Chemistry A	J. Phys. Chem. A
The Journal of Physical Chemistry B	J. Phys. Chem. B
The Journal of Physical Chemistry C	J. Phys. Chem. C
The Journal of Physical Chemistry Letters	J. Phys. Chem. Lett.
Theoretica chimica acta	Theor. Chem. Acc.
Theoretical Chemistry Accounts	Theor. Chem. Acc.
Toxicology and Applied Pharmacology	Toxicol. Appl. Pharmacol.
Transactions of The Society of Rheology	Trans. Soc. Rheol.
WIREs Computational Molecular Science	WIREs Comput. Mol. Sci.
